CO_MUN_GEO;NO_MUN;NO_MUN_MIN;CO_MUN_ATUALIZADOS
2202091;CALDEIRAO GRANDE DO PIAUI;Caldeirão Grande do Piauí;2202091
2202109;CAMPINAS DO PIAUI;Campinas do Piauí;2202109
2202117;CAMPO ALEGRE DO FIDALGO;Campo Alegre do Fidalgo;2202117
2202133;CAMPO GRANDE DO PIAUI;Campo Grande do Piauí;2202133
2202174;CAMPO LARGO DO PIAUI;Campo Largo do Piauí;2202174
2202208;CAMPO MAIOR;Campo Maior;2202208
2202251;CANAVIEIRA;Canavieira;2202251
2202307;CANTO DO BURITI;Canto do Buriti;2202307
2202406;CAPITAO DE CAMPOS;Capitão de Campos;2202406
2202455;CAPITAO GERVASIO OLIVEIRA;Capitão Gervásio Oliveira;2202455
2202505;CARACOL;Caracol;5002803
2202539;CARAUBAS DO PIAUI;Caraúbas do Piauí;2202539
2202554;CARIDADE DO PIAUI;Caridade do Piauí;2202554
2202604;CASTELO DO PIAUI;Castelo do Piauí;2202604
2202653;CAXINGO;Caxingó;2202653
2202703;COCAL;Cocal;2202703
2202711;COCAL DE TELHA;Cocal de Telha;2202711
2202729;COCAL DOS ALVES;Cocal dos Alves;2202729
2202737;COIVARAS;Coivaras;2202737
2202752;COLONIA DO GURGUEIA;Colônia do Gurguéia;2202752
2202778;COLONIA DO PIAUI;Colônia do Piauí;2202778
2202802;CONCEICAO DO CANINDE;Conceição do Canindé;2202802
2202851;CORONEL JOSE DIAS;Coronel José Dias;2202851
2202901;CORRENTE;Corrente;2202901
2203008;CRISTALANDIA DO PIAUI;Cristalândia do Piauí;2203008
2203107;CRISTINO CASTRO;Cristino Castro;2203107
2203206;CURIMATA;Curimatá;2203206
2203230;CURRAIS;Currais;2203230
2203255;CURRALINHOS;Curralinhos;2203255
2203271;CURRAL NOVO DO PIAUI;Curral Novo do Piauí;2203271
2203305;DEMERVAL LOBAO;Demerval Lobão;2203305
2203354;DIRCEU ARCOVERDE;Dirceu Arcoverde;2203354
2203404;DOM EXPEDITO LOPES;Dom Expedito Lopes;2203404
2203420;DOMINGOS MOURAO;Domingos Mourão;2203420
2203453;DOM INOCENCIO;Dom Inocêncio;2203453
2203503;ELESBAO VELOSO;Elesbão Veloso;2203503
2203602;ELISEU MARTINS;Eliseu Martins;2203602
2203701;ESPERANTINA;Esperantina;1707405
2203750;FARTURA DO PIAUI;Fartura do Piauí;2203750
2203800;FLORES DO PIAUI;Flores do Piauí;2203800
2203859;FLORESTA DO PIAUI;Floresta do Piauí;2203859
2203909;FLORIANO;Floriano;2203909
2204006;FRANCINOPOLIS;Francinópolis;2204006
2204105;FRANCISCO AYRES;Francisco Ayres;2204105
2204154;FRANCISCO MACEDO;Francisco Macedo;2204154
2204204;FRANCISCO SANTOS;Francisco Santos;2204204
2204303;FRONTEIRAS;Fronteiras;2204303
2204352;GEMINIANO;Geminiano;2204352
2204402;GILBUES;Gilbués;2204402
2204501;GUADALUPE;Guadalupe;2204501
2204550;GUARIBAS;Guaribas;2204550
2204600;HUGO NAPOLEAO;Hugo Napoleão;2204600
2204659;ILHA GRANDE;Ilha Grande;2204659
2204709;INHUMA;Inhuma;2204709
2204808;IPIRANGA DO PIAUI;Ipiranga do Piauí;2204808
2204907;ISAIAS COELHO;Isaías Coelho;2204907
2205003;ITAINOPOLIS;Itainópolis;2205003
2205102;ITAUEIRA;Itaueira;2205102
2205151;JACOBINA DO PIAUI;Jacobina do Piauí;2205151
2205201;JAICOS;Jaicós;2205201
2205250;JARDIM DO MULATO;Jardim do Mulato;2205250
2205276;JATOBA DO PIAUI;Jatobá do Piauí;2205276
2205300;JERUMENHA;Jerumenha;2205300
2205359;JOAO COSTA;João Costa;2205359
2205409;JOAQUIM PIRES;Joaquim Pires;2205409
2205458;JOCA MARQUES;Joca Marques;2205458
2205508;JOSE DE FREITAS;José de Freitas;2205508
2205516;JUAZEIRO DO PIAUI;Juazeiro do Piauí;2205516
2205524;JULIO BORGES;Júlio Borges;2205524
2205532;JUREMA;Jurema;2608404
2205540;LAGOINHA DO PIAUI;Lagoinha do Piauí;2205540
2205557;LAGOA ALEGRE;Lagoa Alegre;2205557
2205565;LAGOA DO BARRO DO PIAUI;Lagoa do Barro do Piauí;2205565
2205573;LAGOA DE SAO FRANCISCO;Lagoa de São Francisco;2205573
2205581;LAGOA DO PIAUI;Lagoa do Piauí;2205581
2205599;LAGOA DO SITIO;Lagoa do Sítio;2205599
2205607;LANDRI SALES;Landri Sales;2205607
2205706;LUIS CORREIA;Luís Correia;2205706
2205805;LUZILANDIA;Luzilândia;2205805
2205854;MADEIRO;Madeiro;2205854
2205904;MANOEL EMIDIO;Manoel Emídio;2205904
2205953;MARCOLANDIA;Marcolândia;2205953
2206001;MARCOS PARENTE;Marcos Parente;2206001
2206050;MASSAPE DO PIAUI;Massapê do Piauí;2206050
2206100;MATIAS OLIMPIO;Matias Olímpio;2206100
2206209;MIGUEL ALVES;Miguel Alves;2206209
2206308;MIGUEL LEAO;Miguel Leão;2206308
2206357;MILTON BRANDAO;Milton Brandão;2206357
2206407;MONSENHOR GIL;Monsenhor Gil;2206407
2206506;MONSENHOR HIPOLITO;Monsenhor Hipólito;2206506
2206605;MONTE ALEGRE DO PIAUI;Monte Alegre do Piauí;2206605
2206654;MORRO CABECA NO TEMPO;Morro Cabeça no Tempo;2206654
2206670;MORRO DO CHAPEU DO PIAUI;Morro do Chapéu do Piauí;2206670
2206696;MURICI DOS PORTELAS;Murici dos Portelas;2206696
2206704;NAZARE DO PIAUI;Nazaré do Piauí;2206704
2206720;NAZARIA;Nazária;#N/D
2206753;NOSSA SENHORA DE NAZARE;Nossa Senhora de Nazaré;2206753
2206803;NOSSA SENHORA DOS REMEDIOS;Nossa Senhora dos Remédios;2206803
2206902;NOVO ORIENTE DO PIAUI;Novo Oriente do Piauí;2206902
2206951;NOVO SANTO ANTONIO;Novo Santo Antônio;5106315
2207009;OEIRAS;Oeiras;2207009
2207108;OLHO D'AGUA DO PIAUI;Olho D'Água do Piauí;2207108
2207207;PADRE MARCOS;Padre Marcos;2207207
2207306;PAES LANDIM;Paes Landim;2207306
2207355;PAJEU DO PIAUI;Pajeú do Piauí;2207355
2207405;PALMEIRA DO PIAUI;Palmeira do Piauí;2207405
2207504;PALMEIRAIS;Palmeirais;2207504
2207553;PAQUETA;Paquetá;2207553
2207603;PARNAGUA;Parnaguá;2207603
2207702;PARNAIBA;Parnaíba;2207702
2207751;PASSAGEM FRANCA DO PIAUI;Passagem Franca do Piauí;2207751
2207777;PATOS DO PIAUI;Patos do Piauí;2207777
2207793;PAU D'ARCO DO PIAUI;Pau D'Arco do Piauí;2207793
2207801;PAULISTANA;Paulistana;2207801
2207850;PAVUSSU;Pavussu;2207850
2207900;PEDRO II;Pedro II;2207900
2207934;PEDRO LAURENTINO;Pedro Laurentino;2207934
2207959;NOVA SANTA RITA;Nova Santa Rita;2207959
2906600;CANDIBA;Candiba;2906600
2906709;CANDIDO SALES;Cândido Sales;2906709
2906808;CANSANCAO;Cansanção;2906808
2906824;CANUDOS;Canudos;2906824
2906857;CAPELA DO ALTO ALEGRE;Capela do Alto Alegre;2906857
2906873;CAPIM GROSSO;Capim Grosso;2906873
2906899;CARAIBAS;Caraíbas;2906899
3162807;SAO JOAO EVANGELISTA;São João Evangelista;3162807
3162906;SAO JOAO NEPOMUCENO;São João Nepomuceno;3162906
3162922;SAO JOAQUIM DE BICAS;São Joaquim de Bicas;3162922
3162948;SAO JOSE DA BARRA;São José da Barra;3162948
3162955;SAO JOSE DA LAPA;São José da Lapa;3162955
3163003;SAO JOSE DA SAFIRA;São José da Safira;3163003
3163102;SAO JOSE DA VARGINHA;São José da Varginha;3163102
3163201;SAO JOSE DO ALEGRE;São José do Alegre;3163201
3163300;SAO JOSE DO DIVINO;São José do Divino;2210052
3163409;SAO JOSE DO GOIABAL;São José do Goiabal;3163409
3163508;SAO JOSE DO JACURI;São José do Jacuri;3163508
3163607;SAO JOSE DO MANTIMENTO;São José do Mantimento;3163607
3163706;SAO LOURENCO;São Lourenço;3163706
3163805;SAO MIGUEL DO ANTA;São Miguel do Anta;3163805
3163904;SAO PEDRO DA UNIAO;São Pedro da União;3163904
3164001;SAO PEDRO DOS FERROS;São Pedro dos Ferros;3164001
3164100;SAO PEDRO DO SUACUI;São Pedro do Suaçuí;3164100
3164209;SAO ROMAO;São Romão;3164209
3164308;SAO ROQUE DE MINAS;São Roque de Minas;3164308
3164407;SAO SEBASTIAO DA BELA VISTA;São Sebastião da Bela Vista;3164407
3164431;SAO SEBASTIAO DA VARGEM ALEGRE;São Sebastião da Vargem Alegre;3164431
3164472;SAO SEBASTIAO DO ANTA;São Sebastião do Anta;3164472
3164506;SAO SEBASTIAO DO MARANHAO;São Sebastião do Maranhão;3164506
3164605;SAO SEBASTIAO DO OESTE;São Sebastião do Oeste;3164605
3164704;SAO SEBASTIAO DO PARAISO;São Sebastião do Paraíso;3164704
3164803;SAO SEBASTIAO DO RIO PRETO;São Sebastião do Rio Preto;3164803
3164902;SAO SEBASTIAO DO RIO VERDE;São Sebastião do Rio Verde;3164902
3165008;SAO TIAGO;São Tiago;3165008
3165107;SAO TOMAS DE AQUINO;São Tomás de Aquino;3165107
3165206;SAO THOME DAS LETRAS;São Thomé das Letras;3165206
3165305;SAO VICENTE DE MINAS;São Vicente de Minas;3165305
2707107;PIRANHAS;Piranhas;2707107
2707206;POCO DAS TRINCHEIRAS;Poço das Trincheiras;2707206
2707305;PORTO CALVO;Porto Calvo;2707305
2707404;PORTO DE PEDRAS;Porto de Pedras;2707404
2707503;PORTO REAL DO COLEGIO;Porto Real do Colégio;2707503
2707602;QUEBRANGULO;Quebrangulo;2707602
2707701;RIO LARGO;Rio Largo;2707701
2707800;ROTEIRO;Roteiro;2707800
2707909;SANTA LUZIA DO NORTE;Santa Luzia do Norte;2707909
2402907;CORONEL JOAO PESSOA;Coronel João Pessoa;2402907
2403004;CRUZETA;Cruzeta;2403004
2403103;CURRAIS NOVOS;Currais Novos;2403103
2403202;DOUTOR SEVERIANO;Doutor Severiano;2403202
2403251;PARNAMIRIM;Parnamirim;2403251
2403301;ENCANTO;Encanto;2403301
2403400;EQUADOR;Equador;2403400
2403509;ESPIRITO SANTO;Espírito Santo;2403509
2403608;EXTREMOZ;Extremoz;2403608
2403707;FELIPE GUERRA;Felipe Guerra;2403707
2403756;FERNANDO PEDROZA;Fernando Pedroza;2403756
2403806;FLORANIA;Florânia;2403806
2403905;FRANCISCO DANTAS;Francisco Dantas;2403905
2404002;FRUTUOSO GOMES;Frutuoso Gomes;2404002
2404101;GALINHOS;Galinhos;2404101
2404200;GOIANINHA;Goianinha;2404200
2404309;GOVERNADOR DIX-SEPT ROSADO;Governador Dix-Sept Rosado;2404309
2404408;GROSSOS;Grossos;2404408
2404507;GUAMARE;Guamaré;2404507
2404606;IELMO MARINHO;Ielmo Marinho;2404606
2404705;IPANGUACU;Ipanguaçu;2404705
2404804;IPUEIRA;Ipueira;2404804
2404853;ITAJA;Itajá;2404853
2404903;ITAU;Itaú;2404903
2405009;JACANA;Jaçanã;2405009
2405108;JANDAIRA;Jandaíra;2405108
2405207;JANDUIS;Janduís;2405207
2405306;JANUARIO CICCO;Januário Cicco;2405306
2405405;JAPI;Japi;2405405
2405504;JARDIM DE ANGICOS;Jardim de Angicos;2405504
2405603;JARDIM DE PIRANHAS;Jardim de Piranhas;2405603
2405702;JARDIM DO SERIDO;Jardim do Seridó;2405702
2405801;JOAO CAMARA;João Câmara;2405801
2405900;JOAO DIAS;João Dias;2405900
2406007;JOSE DA PENHA;José da Penha;2406007
2406106;JUCURUTU;Jucurutu;2406106
2406155;JUNDIA;Jundiá;2703908
2406205;LAGOA D'ANTA;Lagoa d'Anta;2406205
2406304;LAGOA DE PEDRAS;Lagoa de Pedras;2406304
2406403;LAGOA DE VELHOS;Lagoa de Velhos;2406403
2406502;LAGOA NOVA;Lagoa Nova;2406502
2406601;LAGOA SALGADA;Lagoa Salgada;2406601
2406700;LAJES;Lajes;2406700
2406809;LAJES PINTADAS;Lajes Pintadas;2406809
2406908;LUCRECIA;Lucrécia;2406908
2407005;LUIS GOMES;Luís Gomes;2407005
2407104;MACAIBA;Macaíba;2407104
2407203;MACAU;Macau;2407203
2407252;MAJOR SALES;Major Sales;2407252
2407302;MARCELINO VIEIRA;Marcelino Vieira;2407302
2407401;MARTINS;Martins;2407401
2407500;MAXARANGUAPE;Maxaranguape;2407500
2407609;MESSIAS TARGINO;Messias Targino;2407609
2407708;MONTANHAS;Montanhas;2407708
2407807;MONTE ALEGRE;Monte Alegre;1504802
2407906;MONTE DAS GAMELEIRAS;Monte das Gameleiras;2407906
2408003;MOSSORO;Mossoró;2408003
2408102;NATAL;Natal;2408102
2408201;NISIA FLORESTA;Nísia Floresta;2408201
2408300;NOVA CRUZ;Nova Cruz;2408300
2408409;OLHO-D'AGUA DO BORGES;Olho-d'Água do Borges;2408409
2408508;OURO BRANCO;Ouro Branco;2706109
2408607;PARANA;Paraná;2408607
2408706;PARAU;Paraú;2408706
2408805;PARAZINHO;Parazinho;2408805
2408904;PARELHAS;Parelhas;2408904
2408953;RIO DO FOGO;Rio do Fogo;2408953
2409100;PASSA E FICA;Passa e Fica;2409100
2409209;PASSAGEM;Passagem;2409209
2409308;PATU;Patu;2409308
2409332;SANTA MARIA;Santa Maria;2409332
2409407;PAU DOS FERROS;Pau dos Ferros;2409407
2409506;PEDRA GRANDE;Pedra Grande;2409506
2409605;PEDRA PRETA;Pedra Preta;5106372
2409704;PEDRO AVELINO;Pedro Avelino;2409704
2409803;PEDRO VELHO;Pedro Velho;2409803
2409902;PENDENCIAS;Pendências;2409902
2410009;PILOES;Pilões;2410009
2410108;POCO BRANCO;Poço Branco;2410108
2410207;PORTALEGRE;Portalegre;2410207
2410256;PORTO DO MANGUE;Porto do Mangue;2410256
2410306;PRESIDENTE JUSCELINO;Presidente Juscelino;2410306
2410405;PUREZA;Pureza;2410405
2410504;RAFAEL FERNANDES;Rafael Fernandes;2410504
2410603;RAFAEL GODEIRO;Rafael Godeiro;2410603
2410702;RIACHO DA CRUZ;Riacho da Cruz;2410702
2410801;RIACHO DE SANTANA;Riacho de Santana;2410801
2410900;RIACHUELO;Riachuelo;2805901
2411007;RODOLFO FERNANDES;Rodolfo Fernandes;2411007
2411056;TIBAU;Tibau;2411056
2411106;RUY BARBOSA;Ruy Barbosa;2411106
2411205;SANTA CRUZ;Santa Cruz;2411205
2411403;SANTANA DO MATOS;Santana do Matos;2411403
2411429;SANTANA DO SERIDO;Santana do Seridó;2411429
2411502;SANTO ANTONIO;Santo Antônio;2411502
2411601;SAO BENTO DO NORTE;São Bento do Norte;2411601
2411700;SAO BENTO DO TRAIRI;São Bento do Trairí;2411700
2411809;SAO FERNANDO;São Fernando;2411809
2411908;SAO FRANCISCO DO OESTE;São Francisco do Oeste;2411908
2412005;SAO GONCALO DO AMARANTE;São Gonçalo do Amarante;2412005
2412104;SAO JOAO DO SABUGI;São João do Sabugi;2412104
2412203;SAO JOSE DE MIPIBU;São José de Mipibu;2412203
2412302;SAO JOSE DO CAMPESTRE;São José do Campestre;2412302
2412401;SAO JOSE DO SERIDO;São José do Seridó;2412401
2412500;SAO MIGUEL;São Miguel;2412500
2412559;SAO MIGUEL DO GOSTOSO;São Miguel do Gostoso;2412559
2412609;SAO PAULO DO POTENGI;São Paulo do Potengi;2412609
2412708;SAO PEDRO;São Pedro;2412708
2412807;SAO RAFAEL;São Rafael;2412807
2412906;SAO TOME;São Tomé;2412906
2413003;SAO VICENTE;São Vicente;2413003
2413102;SENADOR ELOI DE SOUZA;Senador Elói de Souza;2413102
2413201;SENADOR GEORGINO AVELINO;Senador Georgino Avelino;2413201
2413300;SERRA DE SAO BENTO;Serra de São Bento;2413300
2413359;SERRA DO MEL;Serra do Mel;2413359
2413409;SERRA NEGRA DO NORTE;Serra Negra do Norte;2413409
2413508;SERRINHA;Serrinha;2413508
2413557;SERRINHA DOS PINTOS;Serrinha dos Pintos;2413557
2413607;SEVERIANO MELO;Severiano Melo;2413607
2413706;SITIO NOVO;Sítio Novo;2413706
2413805;TABOLEIRO GRANDE;Taboleiro Grande;2413805
2413904;TAIPU;Taipu;2413904
2414001;TANGARA;Tangará;2414001
2414100;TENENTE ANANIAS;Tenente Ananias;2414100
2414159;TENENTE LAURENTINO CRUZ;Tenente Laurentino Cruz;2414159
2414209;TIBAU DO SUL;Tibau do Sul;2414209
2414308;TIMBAUBA DOS BATISTAS;Timbaúba dos Batistas;2414308
2414407;TOUROS;Touros;2414407
2414456;TRIUNFO POTIGUAR;Triunfo Potiguar;2414456
2414506;UMARIZAL;Umarizal;2414506
2414605;UPANEMA;Upanema;2414605
2414704;VARZEA;Várzea;2414704
2414753;VENHA-VER;Venha-Ver;2414753
2414803;VERA CRUZ;Vera Cruz;2414803
2414902;VICOSA;Viçosa;2709400
2415008;VILA FLOR;Vila Flor;2415008
2500106;AGUA BRANCA;Água Branca;2700102
2500205;AGUIAR;Aguiar;2500205
2500304;ALAGOA GRANDE;Alagoa Grande;2500304
2500403;ALAGOA NOVA;Alagoa Nova;2500403
2500502;ALAGOINHA;Alagoinha;2600609
2500536;ALCANTIL;Alcantil;2500536
2500577;ALGODAO DE JANDAIRA;Algodão de Jandaíra;2500577
2500601;ALHANDRA;Alhandra;2500601
2500700;SAO JOAO DO RIO DO PEIXE;São João do Rio do Peixe;2500700
2500734;AMPARO;Amparo;2500734
2500775;APARECIDA;Aparecida;2500775
2500809;ARACAGI;Araçagi;2500809
2500908;ARARA;Arara;2500908
2501005;ARARUNA;Araruna;2501005
2501104;AREIA;Areia;2501104
2501153;AREIA DE BARAUNAS;Areia de Baraúnas;2501153
2501203;AREIAL;Areial;2501203
2501302;AROEIRAS;Aroeiras;2501302
2501351;ASSUNCAO;Assunção;2501351
2501401;BAIA DA TRAICAO;Baía da Traição;2501401
2501500;BANANEIRAS;Bananeiras;2501500
2501534;BARAUNA;Baraúna;2401453
2501575;BARRA DE SANTANA;Barra de Santana;2501575
2501609;BARRA DE SANTA ROSA;Barra de Santa Rosa;2501609
2501708;BARRA DE SAO MIGUEL;Barra de São Miguel;2700607
2501807;BAYEUX;Bayeux;2501807
2501906;BELEM;Belém;2700805
2502003;BELEM DO BREJO DO CRUZ;Belém do Brejo do Cruz;2502003
2502052;BERNARDINO BATISTA;Bernardino Batista;2502052
2502102;BOA VENTURA;Boa Ventura;2502102
2502151;BOA VISTA;Boa Vista;1400100
2502201;BOM JESUS;Bom Jesus;2401701
2502300;BOM SUCESSO;Bom Sucesso;2502300
2502409;BONITO DE SANTA FE;Bonito de Santa Fé;2502409
2502508;BOQUEIRAO;Boqueirão;2502508
2502607;IGARACY;Igaracy;2502607
2502706;BORBOREMA;Borborema;2502706
2502805;BREJO DO CRUZ;Brejo do Cruz;2502805
2502904;BREJO DOS SANTOS;Brejo dos Santos;2502904
2503001;CAAPORA;Caaporã;2503001
2503100;CABACEIRAS;Cabaceiras;2503100
